bookName,author,translator,publisher,definePrice,discount,sellPrice
利用Python进行数据分析（原书第2版）,[美]韦斯·麦金尼（Wes McKinney）,徐敬一,机械工业出版社,119.00,7.03,83.60
Spring实战（第6版）（异步图书出品）,[美]克雷格·沃斯（Craig Walls）,张卫滨，吴国浩,人民邮电出版社,109.80,5,54.90
计算之魂（《数学之美》《浪潮之巅》等畅销书作者吴军博士新作）（异步图书出品）,吴军,人民邮电出版社,109.00,5,54.50
数据标准化：企业数据治理的基石(博文视点出品),祝守宇，蔡春久，等,电子工业出版社,,,158.00
计算广告：互联网商业变现的市场与技术（第3版）（异步图书出品）,刘鹏，王超,人民邮电出版社,,,99.80
SAFe5.0精粹：面向业务的规模化敏捷框架(博文视点出品),"[美]Richard,Knaster（理查德・克纳斯特）,Dean,Leffingwell（迪恩・莱芬韦尔）",李建昊,电子工业出版社,,,109.00
Python机器学习基础教程(图灵出品),[德]安德里亚斯·穆勒（Andreas C.Müller）[美]莎拉·吉多（Sarah Guido）,张亮（hysic）,人民邮电出版社,,,79.00
深度强化学习(王树森、黎彧君联合导师北大张志华作品)(图灵出品),王树森，黎彧君，张志华,人民邮电出版社,,,129.80
深度学习：从基础到实践（上、下册）（异步图书出品）,安德鲁·格拉斯纳（Andrew Glassner）,罗家佳,人民邮电出版社,,,199.80
深入浅出计算机网络（微课视频版）,高军，陈君，唐秀明，张剑,清华大学出版社,79.00,8.25,65.10
零基础Python学习笔记,明日科技,电子工业出版社,108.00,9.99,107.80
