ID,name,count,CoCh,HoRatio,InchoRatio,PerTra,InPerTra
301150,中一科技,1,0,0.12,-0.03,0.58,-0.15
300223,北京君正,1,0,3.79,0.14,3.82,0.14
002384,东山精密,1,0,1.39,-0.64,1.39,-0.64
300967,晓鸣股份,1,0,0.30,0.00,0.54,0.02
300572,安车检测,1,-1,0.88,-1.35,0.88,-1.35
301063,海锅股份,1,0,0.35,0.05,0.72,-0.46
000722,湖南发展,1,0,0.18,0.05,0.18,0.05
300494,盛天网络,1,0,2.07,1.19,2.07,1.19
300943,春晖智控,1,1,0.34,0.34,0.58,0.58
000563,陕国投A,1,0,0.23,0.01,0.23,0.01
300047,天源迪科,1,0,0.31,0.00,0.31,0.00
605088,冠盛股份,1,0,2.07,1.46,4.46,3.15
000533,顺钠股份,1,0,0.34,-0.13,0.34,-0.13
300755,华致酒行,1,-2,1.68,-1.03,1.68,-1.03
603993,洛阳钼业,1,0,0.87,0.05,1.07,0.06
300918,南山智尚,1,0,0.27,0.13,0.90,0.42
300900,广联航空,1,-1,2.13,0.67,3.24,1.01
300831,派瑞股份,1,1,0.24,0.24,0.41,0.41
300154,瑞凌股份,1,0,0.20,0.06,0.20,0.06
300967,晓鸣股份,1,0,0.30,0.00,0.54,0.02
300019,硅宝科技,1,0,0.67,-0.80,0.67,-0.81
301071,力量钻石,1,-6,0.72,-1.24,2.14,-5.69
300239,东宝生物,1,1,1.11,1.11,1.25,1.25
600829,人民同泰,1,0,0.37,0.11,0.37,0.11
002788,鹭燕医药,1,1,0.37,0.37,0.37,0.37
000415,渤海租赁,1,0,0.73,0.00,1.13,0.01
000628,高新发展,1,1,0.93,0.93,1.70,1.70
300783,三只松鼠,1,-1,0.66,-0.50,0.66,-1.38
002546,新联电子,1,0,0.44,0.11,0.44,0.11
000751,锌业股份,1,1,0.19,0.19,0.19,0.19
600505,西昌电力,1,1,0.24,0.24,0.24,0.24
603389,亚振家居,1,1,0.35,0.35,0.35,0.35
002237,恒邦股份,1,0,0.81,0.07,1.02,0.09
301119,正强股份,1,0,0.16,0.08,0.63,0.31
003041,真爱美家,1,1,0.18,0.18,0.56,0.56
000610,西安旅游,1,0,0.74,0.19,0.74,0.18
002075,沙钢股份,1,0,0.31,-0.13,0.31,-0.13
300414,中光防雷,1,0,0.65,0.47,0.65,0.47
603186,华正新材,1,0,0.80,-4.03,0.81,-4.03
300155,安居宝,1,0,0.43,0.13,0.43,0.13
003006,百亚股份,1,-1,0.55,-0.06,1.09,-0.12
003039,顺控发展,1,0,0.11,0.00,0.57,0.00
300517,海波重科,1,0,0.46,-0.01,0.46,-0.01
600312,平高电气,1,1,0.57,0.57,0.57,0.57
002273,水晶光电,1,0,1.62,0.22,1.62,0.22
301212,联盛化学,1,1,0.27,0.27,1.16,1.16
688068,热景生物,1,0,0.20,-0.03,0.28,-0.04
002394,联发股份,1,-1,0.50,-1.15,0.50,-1.15
300284,苏交科,1,-1,0.84,-1.02,1.09,-1.33
300383,光环新网,1,0,0.51,-0.31,0.51,-0.45
002087,新野纺织,1,1,0.46,0.46,0.46,0.46
300402,宝色股份,1,-3,0.15,-1.13,0.15,-1.13
000850,华茂股份,1,1,0.37,0.37,0.37,0.37
603565,中谷物流,1,-1,0.69,-1.34,2.27,-4.36
002294,信立泰,1,0,0.53,0.00,0.53,0.00
300021,大禹节水,1,0,0.51,0.15,0.52,0.13
000722,湖南发展,1,0,0.18,0.05,0.18,0.05
300154,瑞凌股份,1,0,0.20,0.06,0.20,0.06
688068,热景生物,1,0,0.20,-0.03,0.28,-0.04
002064,华峰化学,1,-1,0.72,0.06,1.53,-0.11
300160,秀强股份,1,-2,0.51,-0.63,0.52,-0.63
002696,百洋股份,1,1,0.70,0.70,0.70,0.70
300589,江龙船艇,1,0,0.50,-0.51,0.50,-0.51
603060,国检集团,1,-1,0.67,-1.71,0.67,-1.71
300009,安科生物,1,0,1.12,0.12,1.12,0.12
002890,弘宇股份,1,1,0.98,0.98,0.98,0.98
300645,正元智慧,1,1,0.80,0.80,0.80,0.80
300921,南凌科技,1,-1,0.24,-0.14,0.52,-0.28
300002,神州泰岳,1,0,1.19,0.12,1.19,0.12
000155,川能动力,1,1,0.41,0.41,0.47,0.47
300746,汉嘉设计,1,0,0.55,-0.29,0.55,-0.32
301288,清研环境,1,1,0.09,0.09,0.39,0.39
002026,山东威达,1,0,0.40,-0.05,0.42,-0.05
300066,三川智慧,1,1,0.88,0.88,0.88,0.88
301171,易点天下,1,1,0.05,0.05,0.32,0.32
000868,安凯客车,1,1,0.37,0.37,0.37,0.37
300353,东土科技,1,1,0.82,0.82,0.82,0.82
000909,数源科技,1,0,0.37,-0.26,0.44,-0.30
300959,线上线下,1,-1,0.50,0.20,1.07,0.42
603615,茶花股份,1,0,0.73,0.26,0.73,0.26
000012,南玻A,1,-1,2.11,-1.19,3.30,-1.87
300212,易华录,1,0,0.40,-0.82,0.41,-0.85
002273,水晶光电,1,0,1.62,0.22,1.62,0.22
603813,原尚股份,1,-1,0.88,-0.37,1.05,-0.20
300364,中文在线,1,0,0.94,0.08,0.95,0.09
300978,东箭科技,1,1,0.97,0.97,2.24,2.24
002301,齐心集团,1,-1,4.77,-0.94,4.77,-0.94
301116,益客食品,1,0,0.10,0.01,1.04,0.04
300010,豆神教育,1,0,0.37,-0.13,0.37,-0.13
